"fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","btrc","government_activity","fund_group_name","fund_type","fund_name","fund","account_name","account_code","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","authority_name","authority_link","department_number","program","vendor_id","zip","payment_method","payment_status","inv_num","invoice_due_date","invoice_discount_due_date","inv_date","inv_line","inv_dist_line","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","receiver_id","po_date","po_line_number","procurement_organization","buyer_name","supplier_city","supplier_country","bu_name","site_location","item_code","item_code_name","currency","value_of_spend","vendor_num"
"2024","AGING","LOS ANGELES LGBT CENTER","2024-06-17T00:00:00.000","101929",,"905820","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","C2 NUTRITION INFRASTRUCTURE-HCBS","02WA20","EFT26240000023779","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","VC0000020466","90038","EFT","PAID","0224395020570",,,"2024-06-11T00:00:00.000","1","1","SC02CO23141827Y",,"CF23 05_NOV 23 NI 3C2","0",,"0","0","0","0",,,"3",,,,,"CITY",,,,"USD",,"VC0000020466-LOS ANGELES LGBT CENTER"
"2024","AGING","ONEGENERATION","2024-06-10T00:00:00.000","94459",,"611371","COMMUNITY DEVELOPMENT","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","100","CONTRACTUAL SERVICES","003040","EFT26240000023092","SUPPLIES & OTHER SERVICES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100002398","91406","EFT","PAID","0224100020160",,,"2024-05-20T00:00:00.000","1","2","SC02CO24SWV144517Y","SC: ONE-SWV OAA & PROP A CO144517 FY2023-24","10_APR 24 3C2 CGF SWV","0",,"0","0","0","0",,"2023-11-01T00:00:00.000","9",,,,,"CITY",,,,"USD",,"100002398-ONEGENERATION"
"2024","AGING","MEXICAN AMERICAN OPPORTUNITY FOUNDATION","2024-06-17T00:00:00.000","76861",,"638967","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","CONGREGATE MEALS III C1","02YA02","AD26240000120268","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100001846","90640","CHECK","PAID","0224395020593",,,"2024-06-03T00:00:00.000","1","1","SC02CO24144521Y","SC:MAOF-ES OAA III-B, III-C, PROP A, CO144521 FY 2023-24","08_FEB24 3C1 OAA ES","0",,"0","0","0","0",,"2023-11-28T00:00:00.000","3",,,,,"CITY",,,,"USD",,"100001846-MEXICAN AMERICAN OPPORTUNITY FOUNDATION"
"2024","AGING","SAN FERNANDO VALLEY INTERFAITH COUNCIL INC","2024-06-18T00:00:00.000","76328",,"503722","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","HOME DELIVERED MEALS III C2","02YA04","EFT26240000023914","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100002756","91401","EFT","PAID","0224395020621",,,"2024-06-05T00:00:00.000","1","1","SC02CO24MV144518Y","SC: SFVIC-MV OAA & PROP A CO144518 FY2023-24","11_MAY 24 3C2 STATE MV","0",,"0","0","0","0",,"2023-11-01T00:00:00.000","8",,,,,"CITY",,,,"USD",,"100002756-SAN FERNANDO VALLEY INTERFAITH COUNCIL INC"
"2024","AGING","SAN FERNANDO VALLEY INTERFAITH COUNCIL INC","2024-06-06T00:00:00.000","69139",,"503722","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","HOME DELIVERED -ARP","02VAR4","EFT26240000022907","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100002756","91401","EFT","PAID","0224395020551",,,"2024-05-14T00:00:00.000","1","1","SC02CO23MV141816Y",,"CF22_10 APR 24 3C2 ARPA MV","0",,"0","0","0","0",,,"13",,,,,"CITY",,,,"USD",,"100002756-SAN FERNANDO VALLEY INTERFAITH COUNCIL INC"
"2024","AGING","SAN FERNANDO VALLEY INTERFAITH COUNCIL INC","2024-06-11T00:00:00.000","59404",,"503722","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","HOME DELIVERED -ARP","02VAR4","EFT26240000023294","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100002756","91401","EFT","PAID","0224395020553",,,"2024-05-13T00:00:00.000","1","3","SC02CO23SEV141816Y",,"CF22_10 APR 24 3C2 ARPA SEV","0",,"0","0","0","0",,,"13",,,,,"CITY",,,,"USD",,"100002756-SAN FERNANDO VALLEY INTERFAITH COUNCIL INC"
"2024","AGING","WATTS LABOR COMMUNITY ACTION COMMITTEE","2024-06-12T00:00:00.000","59279",,"297418","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","HOME DELIVERED MEALS III C2","02YA04","EFT26240000023393","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100002393","90059","EFT","PAID","0224395020602",,,"2024-05-20T00:00:00.000","1","1","SC02CO24WA144519Y","SC: WLCAC-WA OAA & PROP A CO144519 FY2023-24","10_APR 24 3C2 STATE WA","0",,"0","0","0","0",,"2023-11-02T00:00:00.000","8",,,,,"CITY",,,,"USD",,"100002393-WATTS LABOR COMMUNITY ACTION COMMITTEE"
"2024","AGING","MEXICAN AMERICAN OPPORTUNITY FOUNDATION","2024-06-17T00:00:00.000","58331",,"638967","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","SOCIAL SERVICES III B","02YA01","AD26240000120267","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100001846","90640","CHECK","PAID","0224395020592",,,"2024-06-03T00:00:00.000","1","1","SC02CO24144521Y","SC:MAOF-ES OAA III-B, III-C, PROP A, CO144521 FY 2023-24","08_FEB24 3B OAA ES","0",,"0","0","0","0",,"2023-11-28T00:00:00.000","1",,,,,"CITY",,,,"USD",,"100001846-MEXICAN AMERICAN OPPORTUNITY FOUNDATION"
"2024","AGING","WATTS LABOR COMMUNITY ACTION COMMITTEE","2024-06-13T00:00:00.000","56438",,"297418","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","HOME DELIVERED MEALS III C2","02YA04","EFT26240000023576","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100002393","90059","EFT","PAID","0224395020615",,,"2024-06-05T00:00:00.000","1","1","SC02CO24WA144519Y","SC: WLCAC-WA OAA & PROP A CO144519 FY2023-24","11_MAY 24 3C2 STATE WA","0",,"0","0","0","0",,"2023-11-02T00:00:00.000","8",,,,,"CITY",,,,"USD",,"100002393-WATTS LABOR COMMUNITY ACTION COMMITTEE"
"2024","AGING","WATTS LABOR COMMUNITY ACTION COMMITTEE","2024-06-12T00:00:00.000","55329",,"297418","COMMUNITY DEVELOPMENT","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","100","CONTRACTUAL SERVICES","003040","EFT26240000023378","SUPPLIES & OTHER SERVICES",,"12","2024-12 (JUN)","2024-04","6","JUNE,2024","JUNE","FMS",,,"2","SENIOR SERVICES","100002393","90059","EFT","PAID","0224100020156",,,"2024-05-20T00:00:00.000","1","1","SC02CO24CT144519Y","SC: WLCAC CENTRAL III OAA CO144519 FY2324","10_APR24 3C2 CGF OAA CENTRAL","0",,"0","0","0","0",,"2023-11-01T00:00:00.000","10",,,,,"CITY",,,,"USD",,"100002393-WATTS LABOR COMMUNITY ACTION COMMITTEE"
