"AGENCYNBR","AGENCYNAME","CALENDAR_YEAR","CALENDAR_MONTH","VENDOR_NAME","CITY","STATE","POSTAL","EFFDT","VOUCHER_ID","VOUCHER_STYLE","VCHR_STYLE_DESCR","VOUCHER_ID_RELATED","INVOICE_DT","TRANSACTION_TYPE","PYMNT_AMT","PYMNT_DT","CANCEL_DT","FUND_CODE","FUNDDESCR","CLASS_FLD","CLASSDESCR","DEPTID","DEPTDESCR","ACCOUNT","ACCTDESCR","OPERATING_UNIT","OPERUNITDESCR","PRODUCT","PRODUCTDESCR","PROGRAM_CODE","PGMDESCR","BUDGET_REF","CHARTFIELD1","CF1DESCR","CHARTFIELD2","CF2DESCR","PROJECT_ID","PROJDESCR","ACTIVITY","ACTVDESCR","RESTYPE","RESDESCR","RCAT","RCATDESCR","RSUBCAT","RSUBCATDESCR","PO_ID","ITEM_DESCRIPTION","OCP_DS_DATE","ROWID"
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","PROTECTED INFORMATION","OKLAHOMA CITY","OK","73105","07/23/2020","01901076","REG","Regular Voucher"," ","07/17/2020","N",65.01,"07/23/2020","","9000","Higher Educ Component Unit","70100","OSU 700 Fund","1000001","700 Funds","564110","Mdse-Resale-Raw Mat.,Stk/Supp."," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk+GAAP
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","PROTECTED INFORMATION","OKLAHOMA CITY","OK","73105","07/23/2020","01901077","REG","Regular Voucher"," ","07/16/2020","N",686,"07/23/2020","","9000","Higher Educ Component Unit","70100","OSU 700 Fund","1000001","700 Funds","534260","Medical Supplies And Materials"," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk+GAAQ
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","LABXPRESS LLC","OKLAHOMA CITY","OK","73135-5926","07/23/2020","01901078","REG","Regular Voucher"," ","06/30/2020","N",8377.9,"07/23/2020","","9000","Higher Educ Component Unit","29000","Educational & Gen Operations","1100001","Instruction","515620","Collection Agencies"," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAA
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","PROTECTED INFORMATION","OKLAHOMA CITY","OK","73105","07/23/2020","01901079","REG","Regular Voucher"," ","07/15/2020","N",360.61,"07/23/2020","","9000","Higher Educ Component Unit","70100","OSU 700 Fund","1000001","700 Funds","537190","Lab,Medical Supplies-Materials"," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAB
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","RADIANT SOFTWARE INC","CLEARWATER","FL","33759-4553","07/23/2020","01901080","REG","Regular Voucher"," ","07/10/2020","N",10639,"07/23/2020","","9000","Higher Educ Component Unit","29000","Educational & Gen Operations","1100001","Instruction","533150","Mtce-Rep.-Dp Software-Vendors"," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAC
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","CRAFTSMAN BOOK COMPANY OF AMERICA INC","CARLSBAD","CA","92011-1514","07/23/2020","01901081","REG","Regular Voucher"," ","07/02/2020","N",3660,"07/23/2020","","9000","Higher Educ Component Unit","29000","Educational & Gen Operations","1100001","Instruction","533150","Mtce-Rep.-Dp Software-Vendors"," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAD
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","QUALTRICS LLC","PHOENIX","AZ","85038-9650","07/23/2020","01901082","REG","Regular Voucher"," ","02/27/2020","N",6000,"07/23/2020","","9000","Higher Educ Component Unit","29000","Educational & Gen Operations","1100001","Instruction","515990","Other Svcs-exc.Pub.Admin."," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAE
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","EMBASSY SUITES","NORMAN","OK","73069-6396","07/23/2020","01901083","REG","Regular Voucher"," ","07/14/2020","N",533.2,"07/23/2020","","9000","Higher Educ Component Unit","29000","Educational & Gen Operations","1100001","Instruction","522131","In-State Pur Food Ldg Agcy Dir"," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAF
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","NATIONAL FIRE PROT ASSOC JOURN","MANCHESTER","NH","03108-9689","07/23/2020","01901084","REG","Regular Voucher"," ","06/18/2020","N",4114.47,"07/23/2020","","9000","Higher Educ Component Unit","29000","Educational & Gen Operations","1100001","Instruction","536190","Educational Supplies"," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAG
"01000","OKLAHOMA STATE UNIVERSITY","2020","07","QUALTRICS LLC","PHOENIX","AZ","85038-9650","07/23/2020","01901085","REG","Regular Voucher"," ","06/15/2020","N",4999,"07/23/2020","","9000","Higher Educ Component Unit","29000","Educational & Gen Operations","1100001","Instruction","515990","Other Svcs-exc.Pub.Admin."," "," "," "," ","C0103","HIGHER EDUCATION"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","08/08/2020",AAATM9AAEAAGk++AAH
